3125,Dracula vs. Frankenstein,https://image.tmdb.org/t/p/w500//FT4m9RyaF5ykFOMOIkML6IEe5L.jpg,https://image.tmdb.org/t/p/original//hAc69xOEGf5YzpHDE65pITNEh1e.jpg,Dracula conspires with a mad doctor to resurrect the Frankenstein Monster.,1971-09-20,91,tagline,4
3127,The Revenge of Frankenstein,https://image.tmdb.org/t/p/w500//iJOBQMX4SaOVfXeXUbi3T3Llb0T.jpg,https://image.tmdb.org/t/p/original//loAt9DFDdET7Ano8VvxZ5SHQgPa.jpg,"Baron Frankenstein, working under the protective pseudonym Dr. Victor Stein, together with his assistant Dr. Kleve, transplants a dwarf's brain into another body and unleashes a deranged being.",1958-06-13,90,We Dare You To See It! We Double-Dare You To Forget It!,6
3145,The Horror of Frankenstein,https://image.tmdb.org/t/p/w500//3QDj1RpLm07jnae4VqYv5smYyD.jpg,https://image.tmdb.org/t/p/original//hYvfaCccyazxhcBwEpPmQoDAEL0.jpg,"Tongue-in-cheek chiller about a ruthlessly sadistic student who will stop at nothing in pursuit of advancing his shocking scientific experiments. Young Victor Frankenstein murders his own father in order to inherit his title and fortune, and drops out of school to concentrate on his unholy attempts to resurrect dead creatures.",1970-11-08,95,New thrills! New faces! New horror!,5
3159,Il castello delle donne maledette,https://image.tmdb.org/t/p/w500//bwUoaDv4HbJGJOJhCHNYlql67t5.jpg,https://image.tmdb.org/t/p/original//9wHhRWJThm2CyqUllLUmwAoMsl7.jpg,"Brazzi plays mad Dr. Frankenstein, Dunn is an evil dwarf and Lugosi (no relation to Bela) is a Neanderthal man. Add a monster named Hulk, and some nude women for sexploitation value.",1974-02-19,90,Terror stalks the castle when the secret of life falls into the wrong hands.,2
3160,フランケンシュタイン対地底怪獣 バラゴン,https://image.tmdb.org/t/p/w500//hNhWOKIqggPTMfbA3qY4Vgg5K4y.jpg,https://image.tmdb.org/t/p/original//pGDGr33gZvozMMV0fO2krFCcy1w.jpg,"During WWII, Germans obtain the immortal heart of Frankenstein's monster and transport it to Japan to prevent it being seized by the Allies. Kept in a Hiroshima laboratory, it is seeming lost when the United States destroys the city with the atomic bomb. Years later a wild boy is discovered wandering the streets of the city alone, born of the immortal heart.",1965-08-08,90,A fearsome kaijin? A mad new antagonistic kaiju? A golden entertainment epic of Japan-U.S. collaboration!,7
3163,La maldición de Frankenstein,https://image.tmdb.org/t/p/w500//sIS76osGuN7devi7W89AINtdF47.jpg,https://image.tmdb.org/t/p/original//1zMXj59RMvOQSwA3SpaFUmUstjc.jpg,"Dr. Frankenstein is left for dead in the woods. His daughter, Dr. Vera Frankenstein, hunts for his attacker: Dr. Cagliostro, a mad scientist who’s created a race of human-animal hybrids.",1973-05-31,94,tagline,5
3164,Frankenstein 1970,https://image.tmdb.org/t/p/w500//iigqwAIZJ7vD2a8ZhRyQV0kLEu6.jpg,https://image.tmdb.org/t/p/original//4mfRUXiurkEzVSVxjYhpgA5Wg7J.jpg,The baron's grandson rents the family castle to a TV crew to fund his atomic revival of the family monster.,1958-07-20,83,The One...The Only KING OF MONSTERS as the new demon of the atomic age!,5
3165,Frankenstein Island,https://image.tmdb.org/t/p/w500//i8B274ERmKfqivJADdjBNBtBfDk.jpg,https://image.tmdb.org/t/p/original//fFut8u46jemrFjIQNfi1JmsyBGL.jpg,"A hot air balloon crew and a dog find themselves on an island with scantily-clad part-alien women, zombies, and other monsters.",1981-11-27,97,"The power is 7,000,000 volts--it's alive!",2
3166,Frankenstein Meets the Space Monster,https://image.tmdb.org/t/p/w500//39IPy2fSNn9NuzMn9kjT4uKhPHY.jpg,https://image.tmdb.org/t/p/original//pWteX0tAn8Y4AzLKyQZ8cXJiKdE.jpg,"When an atomic war on Mars destroys the planet's women, it's up to Martian Princess Marcuzan and her right-hand man Dr. Nadir to travel to earth and kidnap women for new breeding stock. Landing in Puerto Rico, they shoot down a NASA space capsule manned by an android. With his electronic brain damaged, the android terrorizes the island while the Martians raid beaches and pool parties",1965-09-22,79,tagline,4
3199,Dracula contra Frankenstein,https://image.tmdb.org/t/p/w500//11cM3iJfPRWfDVsZ1Tho01ZFtpG.jpg,https://image.tmdb.org/t/p/original//x0coUAfwajtL7pcPUuF58PaoRc1.jpg,Dr. Frankenstein and his assistant Morpho are killed just as they bring their creation to life. The monster is taken by Cagliostro and he now controls the monster and plans to have it mate and create the perfect master race!,1972-10-17,88,tagline,5
3202,Victor Frankenstein,https://image.tmdb.org/t/p/w500//dLin9xOyRXbyq8JONf5G2sh4SMy.jpg,https://image.tmdb.org/t/p/original/,Victor Frankenstein's search for the secret of life leads to the creation of a monster that consumes his life and family.,1977-01-01,92,tagline,5
3203,Tales of Frankenstein,https://image.tmdb.org/t/p/w500//xcQG5OInE0EIM7uaie2PLei4g3T.jpg,https://image.tmdb.org/t/p/original/,"In this pilot for a series that was never picked up, Dr. Frankenstein has just finished rebuilding his creation, but the monster is unresponsive. He needs to try something different to make it work, perhaps some new parts. Enter a terminally ill sculptor and his assertive wife…",1958-01-01,28,tagline,5
