8869,Eight Legged Freaks,https://image.tmdb.org/t/p/w500//1hf7x6WmyXtL1MlY4eSlTbZ8Nzu.jpg,https://image.tmdb.org/t/p/original//hN9T2jgX1FXT8kimepOzosXgZZd.jpg,"The residents of a rural mining town discover that an unfortunate chemical spill has caused hundreds of little spiders to mutate overnight to the size of SUVs. It's then up to mining engineer Chris McCormack and Sheriff Sam Parker to mobilize an eclectic group of townspeople, including the Sheriff's young son, Mike, her daughter, Ashley, and paranoid radio announcer Harlan, into battle against the bloodthirsty eight-legged beasts.",2002-07-17,99,Do you hate spiders? Do you really hate spiders? Well they don't like you either.,5.7,en,No Category
8875,Timber Falls,https://image.tmdb.org/t/p/w500//9EIsSXFSIVoT6mQODnUZ62gz4BT.jpg,https://image.tmdb.org/t/p/original//pjbrBZaWbb98hhZ0xt4Uf9O64Eg.jpg,"A weekend of camping in the mountains becomes an excursion into hell for a young couple, who become pawns in a grotesque plot hatched by deranged locals.",2007-12-07,97,tagline,5.2,en,No Category
8913,Pet Sematary,https://image.tmdb.org/t/p/w500//8ZtH1V4rhrtP53ezlEWrCaMALXF.jpg,https://image.tmdb.org/t/p/original//opC0gnJ8bvohMjNJeGHzNdIMttX.jpg,"Dr. Louis Creed's family moves into the country house of their dreams and discover a pet cemetery at the back of their property. The cursed burial ground deep in the woods brings the dead back to life -- with ""minor"" problems. At first, only the family's cat makes the return trip, but an accident forces a heartbroken father to contemplate the unthinkable.",1989-04-21,103,Sometimes dead is better.,6.6,en,No Category
8914,Deep Blue Sea,https://image.tmdb.org/t/p/w500//fyn0zyCI4kIlbDoHH0Hzv09hDC5.jpg,https://image.tmdb.org/t/p/original//bdDTda15ZPbNumwkKa9eH9RplIe.jpg,"Researchers on the undersea lab Aquatica have genetically altered the brains of captive sharks to develop a cure for Alzheimer's disease. But there's an unexpected side effect: the sharks got smarter, faster, and more dangerous. After a big storm damages their remote research facility, they must fight for their lives.",1999-07-28,105,Bigger. Smarter. Faster. Meaner.,5.9,en,No Category
8922,Jeepers Creepers,https://image.tmdb.org/t/p/w500//g410Y1U1ELbmJG14Zru3UAimm1G.jpg,https://image.tmdb.org/t/p/original//oG1NY1hU6hhC7TWdQBURUtAjvGv.jpg,A brother and sister driving home through an isolated countryside from college encounter a flesh-eating creature in the midst of its ritualistic eating spree.,2001-07-01,90,What’s eating you?,6.4,en,No Category
8968,Boogeyman,https://image.tmdb.org/t/p/w500//5KffN0UcuAKJdUAcOvZ21OrqXc8.jpg,https://image.tmdb.org/t/p/original//sJEcInnWer58nvYEbZmrx5eAQ7R.jpg,"Every culture has one – the horrible monster fueling young children's nightmares. But for Tim, the Boogeyman still lives in his memories as a creature that devoured his father 16 years earlier. Is the Boogeyman real? Or did Tim make him up to explain why his father abandoned his family?",2005-02-04,89,You thought it was just a story.,5.0,en,No Category
8973,Lord of Illusions,https://image.tmdb.org/t/p/w500//miQREwapDUNwfInokjeVLt8BiNM.jpg,https://image.tmdb.org/t/p/original//yLfUS9nFmyrYsntznhvxpZMrdtl.jpg,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader Nix, a powerful magician who was killed 13 years earlier.",1995-08-25,119,Trust Nothing Except Your Fear.,6.0,en,No Category
8991,Undead,https://image.tmdb.org/t/p/w500//jwXrKFO20FTvA7mHqnTvMXSznDS.jpg,https://image.tmdb.org/t/p/original//1jWgJwnN3yQNbKQyyJAzflZzOyX.jpg,"A quaint Australian fishing village is overcome by meteorites that turn its residents into the ravenous undead, leaving a small group of those unharmed to find a way out.",2003-09-04,97,Crazy has come to town for a visit.,5.6,en,No Category
8997,Hollow Man II,https://image.tmdb.org/t/p/w500//c6Ga1AUGPe3GwlpX3qDYrD9y3EZ.jpg,https://image.tmdb.org/t/p/original//b1C1hwq0RnOoYkrpMEUl153bxlb.jpg,"After the mysterious death of scientist, Dr. Devin Villiers, Det. Frank Turner and his partner are assigned to protect Villiers' colleague, who revealed that  a veteran soldier was subjected to an experiment with the objective of creating the ultimate national security weapon... an undetectable soldier. The experiment failed – with disastrous side effects.",2006-05-23,91,There's More to Terror Than Meets The Eye,4.9,en,No Category
9003,Hellraiser,https://image.tmdb.org/t/p/w500//3Z0oPHyLnk3Vx6ZMC1MiVwIrKhO.jpg,https://image.tmdb.org/t/p/original//4SxXppJUwjQnd98VLxQEHvH3CfR.jpg,An unfaithful wife encounters the zombie of her dead lover while the demonic cenobites are pursuing him after he escaped their sadomasochistic underworld.,1987-09-11,94,He'll tear your soul apart.,6.9,en,No Category
